Fold,Num_Features,Accuracy,F1,Precision,Recall,AUC
3,100,0.7872860635696821,0.7884670024753442,0.7897400833483053,0.7872860635696821,0.8537498298625289
3,110,0.7750611246943765,0.7774978127904887,0.7802871366874838,0.7750611246943765,0.8591261739485504
3,120,0.784841075794621,0.7864206870718915,0.7881624588704971,0.784841075794621,0.8649448754593712
3,130,0.8019559902200489,0.7999978285059615,0.7983146479764628,0.8019559902200489,0.8654212603783857
4,3,0.6100917431192661,0.6443767795001581,0.6991211394881119,0.6100917431192661,0.5535714285714285
4,10,0.6857798165137615,0.6878637654744906,0.6899950960352216,0.6857798165137615,0.6210430194805195
4,20,0.7844036697247706,0.7802249768065147,0.7766215998712377,0.7844036697247706,0.7282873376623376
4,30,0.8302752293577982,0.8278493249678157,0.8258142349680455,0.8302752293577982,0.8586647727272727
4,40,0.8463302752293578,0.8394916330150513,0.8362194398337246,0.8463302752293578,0.8579883658008658
4,50,0.8876146788990825,0.8839205809283114,0.8825879241769583,0.8876146788990825,0.8813582251082251
4,60,0.8692660550458715,0.8695598589741145,0.8698656064009546,0.8692660550458715,0.866984577922078
4,70,0.8899082568807339,0.8888766682722029,0.8880553551180291,0.8899082568807339,0.8836580086580086
4,80,0.8899082568807339,0.8899082568807339,0.8899082568807339,0.8899082568807339,0.8849093614718615
4,90,0.8761467889908257,0.8782498346323085,0.881102679938034,0.8761467889908257,0.8925865800865801
4,100,0.8899082568807339,0.8908738455911487,0.892038863804128,0.8899082568807339,0.9044575216450216
4,110,0.8990825688073395,0.9007961615522514,0.9033079470505838,0.8990825688073395,0.8913690476190477
4,120,0.9036697247706422,0.9053054269362399,0.907749000473094,0.9036697247706422,0.8964082792207793
4,130,0.8830275229357798,0.8852440237205353,0.8884224894456154,0.8830275229357798,0.877739448051948
5,3,0.5692307692307692,0.5913214990138067,0.624247491638796,0.5692307692307692,0.4523986678004535
5,10,0.6897435897435897,0.7020519835841313,0.7214513788098694,0.6897435897435897,0.7104591836734693
5,20,0.8128205128205128,0.8103803350862175,0.8085505818978512,0.8128205128205128,0.8174603174603174
5,30,0.8307692307692308,0.8288944030879515,0.8274871794871795,0.8307692307692308,0.8645479024943311
5,40,0.8461538461538461,0.8438418890709525,0.8424026304821006,0.8461538461538461,0.876984126984127
5,50,0.8333333333333334,0.8304912540846309,0.8287242517355183,0.8333333333333334,0.9053996598639455
5,60,0.8666666666666667,0.8671264206044825,0.8676404808498741,0.8666666666666667,0.9219812925170068
5,70,0.8538461538461538,0.8519408095878683,0.8507125484914876,0.8538461538461538,0.9242488662131519
5,80,0.8794871794871795,0.8779161061514001,0.8770637776125102,0.8794871794871795,0.9403344671201814
5,90,0.8769230769230769,0.876029548369974,0.8753653116652825,0.8769230769230769,0.9408304988662132
5,100,0.8948717948717949,0.8935012840895195,0.8928745150851239,0.8948717948717949,0.950077947845805
5,110,0.8897435897435897,0.889548556670931,0.8893680093323268,0.8897435897435897,0.9491921768707483
5,120,0.8794871794871795,0.8788365986335529,0.8783149944440267,0.8794871794871795,0.9464994331065759
5,130,0.8717948717948718,0.8703745477939027,0.8694700854700855,0.8717948717948718,0.94703089569161
