accuracy,f1,precision,recall,auc,num_subjects,num_positive,num_negative,data_type,fold,model
0.8512820512820513,0.8457984259964457,0.8450690335305721,0.8512820512820513,0.9226544784580499,,,,fimo,5,RF_PCA
0.8669154228855721,0.8609266805136659,0.8560271345603941,0.8669154228855721,0.8541615779189057,,,,deep,1,RF_PCA
0.8547671840354767,0.8386524414553403,0.830833536652394,0.8547671840354767,0.9038107511045655,,,,deep,2,RF_PCA
0.9154616240266963,0.91159162237629,0.9086370407428893,0.9154616240266963,0.9378772079502006,,,,deep,3,RF_PCA
0.9112207151664612,0.9057508600636751,0.9040330664677009,0.9112207151664612,0.9314042897612302,,,,deep,4,RF_PCA
0.8927613941018767,0.8984739121468344,0.9068394960046988,0.8927613941018767,0.8345381959430297,,,,deep,5,RF_PCA
0.5629709364908504,0.5693656194560992,0.5764575158859683,0.5629709364908504,0.4281871974179667,,,,rp,1,RF_PCA
0.6498091603053435,0.6731821570640896,0.7221207650080107,0.6498091603053435,0.6810836912598166,,,,rp,2,RF_PCA
0.6365461847389559,0.6612157602982828,0.7026459759927984,0.6365461847389559,0.6539401217441715,,,,rp,3,RF_PCA
0.5806451612903226,0.5958829292381622,0.6162037002314207,0.5806451612903226,0.5369625364540492,,,,rp,4,RF_PCA
0.6581691772885284,0.6698651055963702,0.689886834237291,0.6581691772885284,0.6825073568753344,,,,rp,5,RF_PCA
0.9262229350441058,0.9220443290701809,0.9194851119450882,0.9262229350441058,0.9434223891907579,,,,reg,1,RF_PCA
0.8887966804979253,0.8855855462363433,0.8826225951331416,0.8887966804979253,0.8960889295451284,,,,reg,2,RF_PCA
0.9286256643887624,0.9351054702940622,0.9447575932400408,0.9286256643887624,0.9613548283990572,,,,reg,3,RF_PCA
0.8984007525870179,0.9045647279635397,0.9125960225087312,0.8984007525870179,0.847489790738989,,,,reg,4,RF_PCA
0.9332234130255564,0.935540983185152,0.9384544916394427,0.9332234130255564,0.9536346006934242,,,,reg,5,RF_PCA
0.975,0.9740447957839262,0.9757142857142856,0.975,0.9705882352941176,40.0,6.0,34.0,fimo,1,xgboost_CFS
0.875,0.8846153846153847,0.9059139784946237,0.875,0.9215686274509803,40.0,6.0,34.0,fimo,2,xgboost_CFS
0.9,0.9,0.9,0.9,0.9004329004329004,40.0,7.0,33.0,fimo,3,xgboost_CFS
0.8,0.7657142857142857,0.7495495495495496,0.8,0.6060606060606061,40.0,7.0,33.0,fimo,4,xgboost_CFS
0.825,0.7825508607198748,0.7822368421052631,0.825,0.7272727272727273,40.0,7.0,33.0,fimo,5,xgboost_CFS
