comparison,group1,group2,metric,t_statistic,p_value,significant,effect_size,mean_diff,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n,model_type,feature_selection
data_type,rp,reg,recall,-10.630545060249807,1.0107135286471372e-10,True,-3.361673515944128,-0.1707686939566312,0.7455962348557905,0.9163649288124217,0.06680889990988453,0.02641192400338068,20,20,,
data_type,fimo,deep,auc,-1.2937153822529868,0.20574402592618002,False,-0.4091087251914815,-0.02964135418772873,0.8393740088824428,0.8690153630701716,0.08961297484247309,0.04968430980417308,20,20,,
data_type,fimo,rp,auc,3.521614835311263,0.0011677369538375516,True,1.1136323921422355,0.11104245318970485,0.8393740088824428,0.728331555692738,0.08961297484247309,0.10887818503380475,20,20,,
data_type,fimo,reg,auc,-2.9549708917550883,0.005803715526553734,True,-0.9344438437444952,-0.07018969870927572,0.8393740088824428,0.9095637075917186,0.08961297484247309,0.05704124279258884,20,20,,
data_type,deep,rp,auc,5.25705195974298,1.5988362413030043e-05,True,1.6624257970639624,0.14068380737743358,0.8690153630701716,0.728331555692738,0.04968430980417308,0.10887818503380475,20,20,,
data_type,deep,reg,auc,-2.397205791066638,0.02164148021490677,True,-0.7580630319916295,-0.040548344521546986,0.8690153630701716,0.9095637075917186,0.04968430980417308,0.05704124279258884,20,20,,
data_type,rp,reg,auc,-6.593931337430973,3.3324004598967355e-07,True,-2.085184176104217,-0.18123215189898056,0.728331555692738,0.9095637075917186,0.10887818503380475,0.05704124279258884,20,20,,
model_type,RF,xgboost,accuracy,0.11075999436279174,0.9120949352340746,False,0.024766687658269584,0.0019945506916032585,0.8403331426447158,0.8383385919531126,0.07575738425292054,0.08504200407768393,40,40,,
model_type,RF,xgboost,f1,-0.12602234034300883,0.9000404057208857,False,-0.02817945196905819,-0.002463759210424521,0.8325152155031421,0.8349789747135666,0.08402344735730312,0.09071074354521998,40,40,,
model_type,RF,xgboost,precision,-0.22493287033902323,0.8226217963486938,False,-0.050296518845220205,-0.004582473280837829,0.8309846935771523,0.8355671668579902,0.08836984816945247,0.09376846920772515,40,40,,
